Company Name,Ticker,Country,Sector,Subsector, Overall ESG RATING, Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
ADANI POWER LIMITED,ADANIPOWER,IN,Utilities,Independent Power Producers & Energy Traders,CCC,0.0,0.8,5.6,2.0
ADANI RENEWABLE ENERGY (KA) LIMITED,,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4.0
ADANI RENEWABLE ENERGY (RJ) LIMITED,,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4.0
ADANI SOLAR ENERGY CHITRAKOOT ONE LIMITED,,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4.0
ADANI SOLAR ENERGY FOUR PRIVATE LIMITED,,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4.0
ADANI SOLAR ENERGY JODHPUR TWO LIMITED,,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4.0
ADANI THIRUVANANTHAPURAM INTERNATIONAL AIRPORT LIMITED,,IN,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0.0,4.1,3.3,0.0
ADANI TOTAL GAS LIMITED,ATGL,IN,Utilities,Gas Utilities,BBB,5.6,6.1,4.9,5.3
ADANI TRANSMISSION LIMITED,ADANITRANS,IN,Utilities,Electric Utilities,BBB,4.6,7.0,4.2,2.8
ADANI TRANSMISSION STEP-ONE LIMITED,,IN,Utilities,Electric Utilities,BBB,4.6,7.0,4.2,2.8
ADANI VIZHINJAM PORT PRIVATE LIMITED,,IN,Transportation Infrastructure,Marine Ports & Services,CCC,0.0,4.8,2.8,1.0
ADANI WELSPUN EXPLORATION LIMITED,,IN,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0.0,4.1,3.3,0.0
ADANI WIND ENERGY (GUJARAT) PRIVATE LIMITED,,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4.0
ADANI WIND ENERGY KUTCHH FIVE LIMITED,,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4.0
ADANI WIND ENERGY KUTCHH SIX LIMITED,,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4.0
ADAPTHEALTH CORP,AHCO,US,Health Care Providers & Services,Health Care Distributors,A,7.0,6.7,5.9,6.0
"ADAPTHEALTH, LLC",,US,Health Care Providers & Services,Health Care Distributors,A,7.0,6.7,5.9,6.0
ADBRI LIMITED,ABC,AU,Construction Materials,Construction Materials,BBB,5.7,1.7,5.2,6.0
ADCB FINANCE (CAYMAN) LIMITED,,KY,Banks,Diversified Banks,AA,8.4,4.8,6.5,2.8
ADCB STRUCTURING II (CAYMAN) LIMITED,,AE,Banks,Diversified Banks,AA,8.4,4.8,6.5,2.8
"ADDUS HEALTHCARE, INC",,US,Health Care Providers & Services,Health Care Services,AA,8.4,5.1,3.7,5.5
ADDUS HOMECARE CORPORATION,ADUS,US,Health Care Providers & Services,Health Care Services,AA,8.4,5.1,3.7,5.5
"ADECCO FINANCIAL SERVICES (NORTH AMERICA), LLC",,US,Professional Services,Human Resource & Employment Services,AA,7.9,10.0,5.8,6.3
ADECOAGRO SA,AGRO,LU,Food Products,Packaged Foods & Meats,A,6.8,3.7,5.3,5.7
ADEKA CORPORATION,4401,JP,Commodity Chemicals,Commodity Chemicals,BBB,4.6,5.1,1.8,2.7
ADEVINTA ASA,ADE,NO,Interactive Media & Services,Interactive Media & Services,A,5.9,8.4,3.0,5.9
ADIB CAPITAL INVEST 2 LTD,,KY,Banks,Diversified Banks,A,6.5,4.0,5.2,4.7
ADIDAS AG,ADS,DE,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",AAA,8.7,7.7,5.3,6.2
ADIENT GLOBAL HOLDINGS LTD,,JE,Auto Components,Auto Parts & Equipment,B,2.7,2.5,2.8,5.5
ADIENT PUBLIC LIMITED COMPANY,ADNT,IE,Auto Components,Auto Parts & Equipment,B,2.7,2.5,2.8,5.5
ADIENT US LLC,,US,Auto Components,Auto Parts & Equipment,B,2.7,2.5,2.8,5.5
ADITYA BIRLA ARC LIMITED,,IN,Diversified Financials,Other Diversified Financial Services,BB,3.9,3.9,3.7,2.8
ADITYA BIRLA FINANCE LIMITED,,IN,Diversified Financials,Other Diversified Financial Services,BB,3.9,3.9,3.7,2.8
ADITYA BIRLA HOUSING FINANCE LIMITED,,IN,Diversified Financials,Other Diversified Financial Services,BB,3.9,3.9,3.7,2.8
ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,,IN,Diversified Financials,Other Diversified Financial Services,BB,3.9,3.9,3.7,2.8
ADLER Group SA,ADJ,LU,Real Estate Management & Services,Real Estate Operating Companies,BBB,5.3,3.8,5.8,5.3
ADLER Real Estate Aktiengesellschaft,ADL,DE,Real Estate Management & Services,Real Estate Operating Companies,BBB,4.7,4.9,6.2,3.7
ADM AG Holding Limited,,VG,Food Products,Agricultural Products,AA,8.4,6.3,4.8,4.7
ADMIRAL GROUP PLC,ADM,GB,Property & Casualty Insurance,Property & Casualty Insurance,A,7.0,4.1,3.8,7.7
ADOBE INC,ADBE,US,Software & Services,Application Software,AAA,10.0,5.4,7.1,6.5
"ADT CAPS Co,Ltd",,KR,Telecommunication Services,Wireless Telecommunication Services,A,6.1,10.0,7.6,3.0
ADT INC,ADT,US,Commercial Services & Supplies,Security & Alarm Services,A,6.3,8.3,6.3,4.8
ADTALEM GLOBAL EDUCATION INC,ATGE,US,Diversified Consumer Services,Education Services,BB,4.1,7.1,3.4,6.0
"ADTRAN, INC",ADTN,US,"Technology Hardware, Storage & Peripherals",Communications Equipment,A,5.8,2.0,5.0,5.2
ADVA Optical Networking SE,ADV,DE,"Technology Hardware, Storage & Peripherals",Communications Equipment,A,7.0,2.6,5.1,6.0
"ADVAN GROUP CO, LTD",7463,JP,Trading Companies & Distributors,Trading Companies & Distributors,BB,3.7,2.1,6.3,3.6
"ADVANCE AUTO PARTS, INC",AAP,US,Retail - Consumer Discretionary,Automotive Retail,BBB,5.4,3.6,4.5,5.8
"ADVANCED DRAINAGE SYSTEMS, INC",WMS,US,Building Products,Building Products,AA,7.7,5.2,7.1,6.1
"ADVANCED ENERGY INDUSTRIES, INC",AEIS,US,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,BBB,5.5,3.5,4.0,5.9
"ADVANCED INSTRUMENTS, LLC",,US,Diversified Financials,Multi-Sector Holdings,A,7.0,8.6,5.9,4.3
ADVANCED MEDICAL SOLUTIONS GROUP PLC,AMS,GB,Health Care Equipment & Supplies,Health Care Supplies,AA,8.4,8.5,6.7,6.9
"ADVANCED MICRO DEVICES, INC",AMD,US,Semiconductors & Semiconductor Equipment,Semiconductors,A,6.4,4.3,6.0,5.9
"ADVANCEPIERRE FOODS HOLDINGS, INC",TSN,US,Food Products,Packaged Foods & Meats,BBB,5.7,4.1,4.3,5.1
"ADVANCEPIERRE FOODS, INC",,US,Food Products,Packaged Foods & Meats,BBB,5.7,4.1,4.3,5.1
ADVANSIX INC,ASIX,US,Commodity Chemicals,Commodity Chemicals,BBB,4.6,2.8,3.2,6.2
ADVANTAGE ENERGY LTD,AAV,CA,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,BBB,4.8,1.9,4.0,6.9
ADVANTAGE SALES & MARKETING INC,ADSAM,US,Professional Services,Advertising,BB,3.5,6.7,2.9,4.7
ADVANTAGE SOLUTIONS INC,ADV,US,Media & Entertainment,Advertising,BB,3.5,6.7,2.9,4.7
"ADVANTECH Co, Ltd",2395,TW,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",BB,3.9,3.9,4.2,3.9
ADVANTEST CORPORATION,6857,JP,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,BBB,5.2,4.7,7.6,5.6
ADVANZ PHARMA CORP,ADVZ,CA,Pharmaceuticals,Pharmaceuticals,BBB,5.6,2.9,3.5,1.4
"ADVENT SOFTWARE, INC",SSNC,US,Software & Services,Application Software,BB,4.0,3.9,3.5,4.5
ADVENTURE MARKETING PRIVATE LIMITED,,IN,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,BBB,4.9,5.1,5.2,4.3
ADYAH SOLAR ENERGY PRIVATE LIMITED,,IN,Utilities,Renewable Electricity,A,7.0,9.5,3.3,5.2
"AECC AERO-ENGINE CONTROL CO,LTD",000738,CN,Aerospace & Defense,Aerospace & Defense,CCC,0.5,0.7,3.6,1.5
"AECC AVIATION POWER CO,LTD",600893,CN,Aerospace & Defense,Aerospace & Defense,CCC,0.0,3.3,1.8,1.1
